n_batch:230,phase:    train,avg_loss:5.230e-01, avg_error_rate:8.554e+01
n_batch:235,phase:    train,avg_loss:5.210e-01, avg_error_rate:8.546e+01
n_batch:240,phase:    train,avg_loss:5.190e-01, avg_error_rate:8.543e+01
n_batch:245,phase:    train,avg_loss:5.172e-01, avg_error_rate:8.540e+01
n_batch:250,phase:    train,avg_loss:5.156e-01, avg_error_rate:8.534e+01
n_batch:255,phase:    train,avg_loss:5.140e-01, avg_error_rate:8.532e+01
n_batch:260,phase:    train,avg_loss:5.123e-01, avg_error_rate:8.524e+01
n_batch:265,phase:    train,avg_loss:5.108e-01, avg_error_rate:8.519e+01
n_batch:270,phase:    train,avg_loss:5.093e-01, avg_error_rate:8.512e+01
n_batch:275,phase:    train,avg_loss:5.077e-01, avg_error_rate:8.507e+01
n_batch:280,phase:    train,avg_loss:5.060e-01, avg_error_rate:8.502e+01
n_batch:285,phase:    train,avg_loss:5.044e-01, avg_error_rate:8.498e+01
n_batch:290,phase:    train,avg_loss:5.028e-01, avg_error_rate:8.492e+01
n_batch:295,phase:    train,avg_loss:5.014e-01, avg_error_rate:8.486e+01
n_batch:300,phase:    train,avg_loss:5.001e-01, avg_error_rate:8.479e+01
n_batch:305,phase:    train,avg_loss:4.987e-01, avg_error_rate:8.475e+01
n_batch:310,phase:    train,avg_loss:4.973e-01, avg_error_rate:8.472e+01
n_batch:315,phase:    train,avg_loss:4.961e-01, avg_error_rate:8.468e+01
n_batch:320,phase:    train,avg_loss:4.948e-01, avg_error_rate:8.464e+01
n_batch:325,phase:    train,avg_loss:4.936e-01, avg_error_rate:8.463e+01
n_batch:330,phase:    train,avg_loss:4.924e-01, avg_error_rate:8.459e+01
n_batch:335,phase:    train,avg_loss:4.912e-01, avg_error_rate:8.458e+01
n_batch:340,phase:    train,avg_loss:4.899e-01, avg_error_rate:8.456e+01
n_batch:345,phase:    train,avg_loss:4.886e-01, avg_error_rate:8.454e+01
n_batch:350,phase:    train,avg_loss:4.877e-01, avg_error_rate:8.450e+01
n_batch:355,phase:    train,avg_loss:4.866e-01, avg_error_rate:8.445e+01
n_batch:360,phase:    train,avg_loss:4.857e-01, avg_error_rate:8.444e+01
n_batch:365,phase:    train,avg_loss:4.846e-01, avg_error_rate:8.444e+01
n_batch:370,phase:    train,avg_loss:4.836e-01, avg_error_rate:8.441e+01
n_batch:375,phase:    train,avg_loss:4.826e-01, avg_error_rate:8.438e+01
n_batch:380,phase:    train,avg_loss:4.817e-01, avg_error_rate:8.435e+01
n_batch:385,phase:    train,avg_loss:4.807e-01, avg_error_rate:8.432e+01
n_batch:390,phase:    train,avg_loss:4.797e-01, avg_error_rate:8.431e+01
n_batch:395,phase:    train,avg_loss:4.787e-01, avg_error_rate:8.430e+01
n_batch:400,phase:    train,avg_loss:4.779e-01, avg_error_rate:8.427e+01
n_batch:405,phase:    train,avg_loss:4.770e-01, avg_error_rate:8.425e+01
n_batch:410,phase:    train,avg_loss:4.761e-01, avg_error_rate:8.422e+01
n_batch:415,phase:    train,avg_loss:4.753e-01, avg_error_rate:8.423e+01
n_batch:420,phase:    train,avg_loss:4.744e-01, avg_error_rate:8.420e+01
